2019-08-09 00:00:00 Launching analysis for 1113064533 with LEAN Engine v2.5.0.0
2019-08-09 00:00:00 Accurate daily end-times now enabled by default. See more at https://qnt.co/3YHaWHL. To disable it and use legacy daily bars set self.settings.daily_precise_end_time = False.
2019-08-09 00:00:00 Algorithm starting warm up...
2020-01-02 11:00:00 Algorithm finished warming up.
2020-11-13 16:00:00 Rebalancing NVDA: Current Weight: 10.64%, Target Weight: -11.11%, Price: $531.88, EMA: $536.11
2020-11-16 16:00:00 Rebalancing NVDA: Current Weight: -10.84%, Target Weight: 11.11%, Price: $540.61, EMA: $536.54
2020-11-17 16:00:00 Rebalancing PLTR: Current Weight: 12.31%, Target Weight: 11.11%, Price: $17.85, EMA: $13.18
2020-11-20 16:00:00 Rebalancing NVDA: Current Weight: 10.38%, Target Weight: -11.11%, Price: $523.51, EMA: $535.46
2020-11-23 16:00:00 Rebalancing PLTR: Current Weight: 12.81%, Target Weight: 11.11%, Price: $21.04, EMA: $15.14
2020-11-24 16:00:00 Rebalancing PLTR: Current Weight: 12.33%, Target Weight: 11.11%, Price: $23.82, EMA: $15.97
2020-11-25 16:00:00 Rebalancing PLTR: Current Weight: 13.21%, Target Weight: 11.11%, Price: $29.05, EMA: $17.22
2020-11-30 16:00:00 Rebalancing NVDA: Current Weight: -10.61%, Target Weight: 11.11%, Price: $536.06, EMA: $532.77
2020-12-01 16:00:00 Rebalancing PLTR: Current Weight: 9.92%, Target Weight: 11.11%, Price: $25.67, EMA: $19.69
2020-12-02 16:00:00 Rebalancing PLTR: Current Weight: 9.81%, Target Weight: 11.11%, Price: $22.51, EMA: $19.96
2020-12-07 16:00:00 Rebalancing PLTR: Current Weight: 13.81%, Target Weight: 11.11%, Price: $28.94, EMA: $21.47
2020-12-08 16:00:00 Rebalancing NVDA: Current Weight: 10.45%, Target Weight: -11.11%, Price: $534.00, EMA: $535.58
2020-12-14 16:00:00 Rebalancing NVDA: Current Weight: -10.98%, Target Weight: 11.11%, Price: $532.35, EMA: $531.38
2020-12-16 16:00:00 Rebalancing PLTR: Current Weight: 10.06%, Target Weight: 11.11%, Price: $25.92, EMA: $24.19
2020-12-16 16:00:00 Rebalancing NVDA: Current Weight: 11.01%, Target Weight: -11.11%, Price: $529.70, EMA: $531.48
2020-12-17 16:00:00 Rebalancing NVDA: Current Weight: -11.02%, Target Weight: 11.11%, Price: $533.65, EMA: $531.69
2020-12-18 16:00:00 Rebalancing NVDA: Current Weight: 11.03%, Target Weight: -11.11%, Price: $530.88, EMA: $531.61
2020-12-21 16:00:00 Rebalancing NVDA: Current Weight: -11.00%, Target Weight: 11.11%, Price: $533.29, EMA: $531.77
2020-12-22 16:00:00 Rebalancing NVDA: Current Weight: 10.98%, Target Weight: -11.11%, Price: $531.13, EMA: $531.71
2020-12-23 16:00:00 Rebalancing PLTR: Current Weight: 12.13%, Target Weight: 11.11%, Price: $28.69, EMA: $25.61
2020-12-28 16:00:00 Rebalancing PLTR: Current Weight: 9.99%, Target Weight: -11.11%, Price: $25.63, EMA: $25.80
2020-12-31 16:00:00 Rebalancing PLTR: Current Weight: -10.09%, Target Weight: -11.11%, Price: $23.55, EMA: $25.43
2021-01-05 16:00:00 Rebalancing NVDA: Current Weight: -11.15%, Target Weight: 11.11%, Price: $536.19, EMA: $527.40
2021-01-06 16:00:00 Rebalancing NVDA: Current Weight: 10.00%, Target Weight: -11.11%, Price: $504.58, EMA: $525.23
2021-01-07 16:00:00 Rebalancing NVDA: Current Weight: -11.67%, Target Weight: 11.11%, Price: $533.76, EMA: $526.04
2021-01-08 16:00:00 Rebalancing PLTR: Current Weight: -12.02%, Target Weight: 11.11%, Price: $25.20, EMA: $25.04
2021-01-14 16:00:00 Rebalancing PLTR: Current Weight: 10.90%, Target Weight: -11.11%, Price: $24.92, EMA: $25.22
2021-01-14 16:00:00 Rebalancing NVDA: Current Weight: 10.52%, Target Weight: -11.11%, Price: $528.01, EMA: $530.23
2021-01-15 16:00:00 Rebalancing PLTR: Current Weight: -11.25%, Target Weight: 11.11%, Price: $25.64, EMA: $25.26
2021-01-20 16:00:00 Rebalancing NVDA: Current Weight: -11.16%, Target Weight: 11.11%, Price: $534.63, EMA: $528.62
2021-01-22 16:00:00 Rebalancing PLTR: Current Weight: 13.81%, Target Weight: 11.11%, Price: $32.58, EMA: $26.20
2021-01-25 16:00:00 Rebalancing PLTR: Current Weight: 12.16%, Target Weight: 11.11%, Price: $36.23, EMA: $27.15
2021-01-27 16:00:00 Rebalancing NVDA: Current Weight: 9.84%, Target Weight: -11.11%, Price: $516.71, EMA: $532.67
2021-02-02 16:00:00 Rebalancing PLTR: Current Weight: 9.73%, Target Weight: 11.11%, Price: $31.02, EMA: $30.56
2021-02-02 16:00:00 Rebalancing NVDA: Current Weight: -11.65%, Target Weight: 11.11%, Price: $542.27, EMA: $531.54
2021-02-08 16:00:00 Rebalancing PLTR: Current Weight: 12.57%, Target Weight: 11.11%, Price: $36.05, EMA: $31.59
2021-02-12 16:00:00 Rebalancing PLTR: Current Weight: 9.87%, Target Weight: -11.11%, Price: $31.91, EMA: $32.53
2021-02-16 16:00:00 Rebalancing PLTR: Current Weight: -9.62%, Target Weight: -11.11%, Price: $27.84, EMA: $32.09
2021-02-18 16:00:00 Rebalancing PLTR: Current Weight: -9.94%, Target Weight: -11.11%, Price: $25.17, EMA: $31.00
2021-02-19 16:00:00 Rebalancing PLTR: Current Weight: -12.95%, Target Weight: -11.11%, Price: $29.00, EMA: $30.81
2021-02-23 16:00:00 Rebalancing NVDA: Current Weight: 10.96%, Target Weight: -11.11%, Price: $565.68, EMA: $570.68
2021-02-24 16:00:00 Rebalancing PLTR: Current Weight: -10.07%, Target Weight: -11.11%, Price: $26.39, EMA: $29.82
2021-02-24 16:00:00 Rebalancing NVDA: Current Weight: -11.25%, Target Weight: 11.11%, Price: $579.96, EMA: $571.57
2021-02-25 16:00:00 Rebalancing PLTR: Current Weight: -9.97%, Target Weight: -11.11%, Price: $23.96, EMA: $29.26
2021-02-25 16:00:00 Rebalancing NVDA: Current Weight: 9.76%, Target Weight: -11.11%, Price: $532.30, EMA: $567.83
2021-03-04 16:00:00 Rebalancing NVDA: Current Weight: -9.87%, Target Weight: -11.11%, Price: $494.81, EMA: $551.39
2021-03-08 16:00:00 Rebalancing NVDA: Current Weight: -9.92%, Target Weight: -11.11%, Price: $463.73, EMA: $538.48
2021-03-11 16:00:00 Rebalancing PLTR: Current Weight: -12.40%, Target Weight: 11.11%, Price: $26.73, EMA: $26.24
2021-03-11 16:00:00 Rebalancing NVDA: Current Weight: -12.44%, Target Weight: -11.11%, Price: $519.74, EMA: $530.33
2021-03-16 16:00:00 Rebalancing PLTR: Current Weight: 10.59%, Target Weight: -11.11%, Price: $25.61, EMA: $26.28
2021-03-16 16:00:00 Rebalancing NVDA: Current Weight: -11.24%, Target Weight: 11.11%, Price: $531.65, EMA: $528.97
2021-03-18 16:00:00 Rebalancing NVDA: Current Weight: 10.32%, Target Weight: -11.11%, Price: $508.90, EMA: $527.46
2021-03-22 16:00:00 Rebalancing NVDA: Current Weight: -11.23%, Target Weight: 11.11%, Price: $527.45, EMA: $526.29
2021-03-23 16:00:00 Rebalancing PLTR: Current Weight: -10.10%, Target Weight: -11.11%, Price: $23.26, EMA: $25.43
2021-03-23 16:00:00 Rebalancing NVDA: Current Weight: 10.62%, Target Weight: -11.11%, Price: $522.83, EMA: $525.96
2021-03-25 16:00:00 Rebalancing NVDA: Current Weight: -10.10%, Target Weight: -11.11%, Price: $501.41, EMA: $521.88
2021-03-31 16:00:00 Rebalancing NVDA: Current Weight: -11.86%, Target Weight: 11.11%, Price: $533.93, EMA: $521.53
2021-04-09 16:00:00 Rebalancing PLTR: Current Weight: -11.44%, Target Weight: 11.11%, Price: $24.04, EMA: $23.76
2021-04-12 16:00:00 Rebalancing PLTR: Current Weight: 10.75%, Target Weight: -11.11%, Price: $23.34, EMA: $23.72
2021-04-12 16:00:00 Rebalancing NVDA: Current Weight: 12.38%, Target Weight: 11.11%, Price: $608.36, EMA: $547.51
2021-04-13 16:00:00 Rebalancing PLTR: Current Weight: -12.16%, Target Weight: 11.11%, Price: $25.42, EMA: $23.88
